tag,Total_Videos,Total_Views,Total_Likes,Total_Comments,Avg_Engagement_Rate
tìm em,4,27869612,187887,5326,0.0043654058643965
tim em,4,27869612,187887,5326,0.0043654058643965
bảo anh,3,27229736,185805,5257,0.004700011549918167
tìm em lyrics,3,27229736,185805,5257,0.004700011549918167
hngle,3,27229736,185805,5257,0.004700011549918167
tìm em hngle bảo anh,2,26757290,184487,5210,0.0056054077821994
tìm em karaoke,2,26757290,184487,5210,0.0056054077821994
minecraft,23,24560796,729927,93015,0.01957726656765225
nhạc việt,8,24051051,186740,5733,0.012769617582951375
nhạc chill,7,23778047,175480,4949,0.006878954633301828
tìm em hngle,2,23174483,172153,4814,0.00531214794903315
tìm em bảo anh,2,23174483,172153,4814,0.00531214794903315
bao anh,2,23174483,172153,4814,0.00531214794903315
minecraft arg,2,11062392,531071,80430,0.0371973397220037
nhạc remix,15,7099063,42308,988,0.009118620901729267
erik,2,6929410,52182,22874,0.0108315137941036
remix,11,6791091,41814,955,0.01175324831905571
ca sĩ hương tràm,2,6268148,69798,6230,0.0121292605088456
gái nghệ,2,6268148,69798,6230,0.0121292605088456
gai nghe,2,6268148,69798,6230,0.0121292605088456
hương tràm,2,6268148,69798,6230,0.0121292605088456
nhạc trẻ,17,6203553,73563,6053,0.014204767373961353
nhạc trẻ remix,11,6185136,38289,813,0.011274195347129656
nhac tre,10,5397497,44612,3742,0.00750169289624554
tìm em lofi,3,5167575,17052,559,0.003242182214958467
anh hãy thôi chờ em đi anh nhé đôi mình đã xa,2,4695129,15734,512,0.00341866377975985
nhạc mới,6,4592460,27844,4169,0.004443435135408383
mcpe,9,4521586,103385,6689,0.019609930003768934
roblox,16,3978300,63647,7528,0.016614884141599548
minecraft pe,5,3886302,41380,2457,0.01446985783843222
bi huỳnh gaming,4,3621831,51906,5884,0.017508696769445824
nhac viet,2,3371549,46274,3875,0.03161468815525445
nhạc quê hương,2,3298089,36389,3151,0.01071664378977015
sinh tố team,4,3259122,78683,4175,0.0192858409370446
nhạc tâm trạng,2,3199309,35035,3122,0.007160667657657251
hiha,4,3154224,86131,4369,0.0249814548920079
kẻ say tình 2,4,2972224,22778,3670,0.0071666821130126
quốc thiên,3,2940422,22594,3664,0.0075640871457991
ke say tinh 2,3,2940422,22594,3664,0.0075640871457991
kẻ say tình quốc thiên,3,2940422,22594,3664,0.0075640871457991
ke say tinh,2,2908620,22410,3658,0.008358897211372101
kẻ say tình,2,2908620,22410,3658,0.008358897211372101
ke say tinh quoc thien,2,2908620,22410,3658,0.008358897211372101
quoc thien,2,2908620,22410,3658,0.008358897211372101
liên quân mobile,6,2857536,23304,1710,0.011810307379015568
nhạc,7,2400765,10632,712,0.006523856989841199
blox fruit,3,2398060,27433,2040,0.011054712977001733
h1h4,3,2375911,73677,3169,0.027460916283232
bi đại thần,2,2306013,26697,1993,0.01232880754496205
hihachobi,2,2252803,64962,2911,0.026881363675873352
hiha và yummie,2,2190404,67437,2253,0.028613032826399
anh trai,2,2162142,59629,11759,0.0327995441452858
atvncg2026,2,2133932,32672,1712,0.0161129782954658
atvncg,2,2133932,32672,1712,0.0161129782954658
nhac remix,10,2129883,24637,370,0.0120540410066738
aov,4,2086826,13698,1041,0.011641784070047225
toga,3,2062210,33042,4961,0.01965774489778487
nhac,6,2050150,8283,594,0.007138707151259384
liên quân,4,2049677,14265,1061,0.012431951454593075
sgp,3,1999595,8539,176,0.005008300765991367
nhạc remix tiktok,7,1960753,21328,296,0.0073056433566567
kiramc,3,1917713,38991,4316,0.0246013509863509
minecraft sinh ton,5,1899466,37933,3292,0.02115734830503618
blox fruits,5,1893971,42018,5192,0.0230435627204627
tiktok,7,1881041,23687,2377,0.013806329820806372
remix tiktok,7,1856797,22410,279,0.011017813781224444
esports,3,1848197,7966,426,0.0062776856942845
nhạc tiktok remix,6,1815098,21328,270,0.008493499916236802
oops hiha,2,1810888,60089,1277,0.0265240953804552
garena liên quân mobile,3,1798358,12135,994,0.013661975988640634
garena liên quân,3,1798358,12135,994,0.013661975988640634
nhạc trữ tình,8,1714979,7717,280,0.006919189369791175
tinh hà say hi,4,1713900,62405,12149,0.03538654643741645
apl,2,1711127,6976,129,0.00472184699185355
chung kết liên quân,2,1711127,6976,129,0.00472184699185355
nếu tô gà,2,1681424,19958,3716,0.0140797324172843
arena of valor,2,1665862,10554,906,0.01419466063795435
oops club,2,1634957,59585,1257,0.03062376124905525
yummie,2,1619025,22433,3058,0.01581140156780995
gaming,5,1602661,27240,1330,0.01827533600722058
anh trai say hi,3,1576538,60287,11989,0.04165408960009707
tinh hà,3,1470013,56786,11823,0.03905671424871456
lk bolero,6,1461056,4705,253,0.00470905850026625
free fire,5,1438899,23500,2271,0.016781582907985322
nhạc remix 2026,5,1417972,21346,237,0.01661023581146422
duy lê,3,1416322,23409,1822,0.0183807824023869
nhac tiktok,7,1390936,5075,269,0.0055773596686814
nhạc hay,7,1390936,5075,269,0.0055773596686814
nhạc tiktok,7,1387889,5737,247,0.006500544734819642
hoàng tôn,2,1362705,18736,856,0.012114121046129751
thái lê minh hiếu,2,1362705,18736,856,0.012114121046129751
anh trai vượt ngàn chông gai,2,1362705,18736,856,0.012114121046129751
osad,2,1362705,18736,856,0.012114121046129751
lien quan,4,1359679,20400,2112,0.01682821630283335
minecraft kinh dị,4,1351310,23985,2762,0.021441096990823423
tiktok remix,6,1332815,5737,231,0.007535549155312851
jaysonlei,2,1332651,54668,11663,0.05029311289838455
coolkid,2,1332651,54668,11663,0.05029311289838455
nhac tre remix,6,1319368,6220,278,0.009253543739039584
bolero trữ tình,5,1303142,6292,216,0.006534692491111061
nhạc lofi chill,5,1296214,4303,214,0.0032594133906858206
nhạc lofi,5,1296214,4303,214,0.0032594133906858206
nhạc hot,5,1291116,4655,222,0.00380991959214536
nhac remix 2026,5,1290828,6220,259,0.01104289762156376
nhạc buồn,6,1271786,14938,933,0.010892337408485867
nhạc hot tiktok,6,1265438,5259,228,0.007403702803508351
game,6,1249263,17500,664,0.017800795458032283
nhạc trữ tình hay nhất,4,1241541,4806,124,0.0053390933403688005
nhạc vàng chọn lọc,4,1230121,3128,120,0.003024285552267675
funny,4,1230097,23569,718,0.020976134293151875
nhạc vàng,9,1207949,7099,248,0.0071247406581206995
nhạc vàng hải ngoại,5,1187507,5659,111,0.0065417113423511
đáng ra anh không nên,3,1165449,27903,1272,0.025033270439118304
nhac tre hay nhat hien nay,6,1151769,5051,206,0.007923786791284018
remix 2026,4,1133929,5075,187,0.009524180323213099
tim em lofi,2,1112322,3400,116,0.0031254039465936
chill,6,1093260,3704,182,0.002799746846044167
nhac tiktok hay 2026,3,1092230,3993,178,0.0039776747739007
nhạc hot tiktok hiện nay,5,1069477,4467,188,0.00804546146835676
tft,3,1049554,5981,66,0.005985074175886534
