video_id,title,title_length,has_number_in_title,has_emoji,channelId,channelTitle,categoryId,categoryName,publishedAt_vn,publish_date,publish_hour,day_of_week,days_since_published,duration,duration_sec,duration_bucket,viewCount,likeCount,commentCount,engagement_rate,like_rate,comment_rate,tags,tag_count,thumbnail_link
z_6KKh8LEVo,Tìm Em Remix ( Chuẩn Hot TikTok)💊 Hngle ft Bảo Anh x Kai Remix l Anh Hãy Thôi Chờ Em Đi Anh Nhé,95,False,True,UC0w70jLEq2Zqv5x4zeizfFg,Kai Musix 💊,10,Music,2026-06-29 00:00:17+07:00,2026-06-29,0,Monday,12,PT5M11S,311,5-10 mins,2653404,10570,282,0.004089840823334856,0.003983562246834632,0.00010627857650022386,tìm em remix|tìm em|bảo anh|remix|anh hãy thôi chờ em đi anh nhé đôi mình đã xa|tim em|hngle|tìm em hngle bảo anh|nhạc remix|nhạc trẻ remix|bản hot tiktok|tìm em bản hot tiktok|kai remix|kane remix|tìm em remix bảo anh|tìm em remix tiktok|tìm em karaoke|tìm em lyrics|tìm em kai remix|tim em mp3|tìm em lofi|tim em hngle kai remix|tim em hngle remix|tim em remix hgnle|tim em kai remix hngle|tim em remix bảo anh|tim em kai remix bảo anh,27,https://i.ytimg.com/vi/z_6KKh8LEVo/hqdefault.jpg
HNR--8P-ezs,[Trailer] Giới thiệu phim NỢ ĐỜI VAY TRẢ - Tuần cuối | Những bí mật năm xưa bắt đầu lật mở...,93,False,False,UCrS7tv883mVqv07HKgVuwAA,THVL Phim,1,Film & Animation,2026-07-06 07:03:12+07:00,2026-07-06,7,Monday,5,PT58S,58,< 1 min,392512,805,86,0.002269994293168107,0.0020508927115604108,0.00021910158160769606,nợ đời vay trả|phim nợ đời vay trả|phim việt nam|phim việt nam 2026|phim viet nam 2026|phim xưa việt nam|phim xưa việt nam hay|phim xưa việt nam hay nhất|phim xưa việt nam 2026|phim xưa việt nam hay mới nhất 2026|phim xưa việt nam mới|phim truyện việt nam|phim truyện việt nam 2026|phim truyện việt nam hay nhất|phim truyện việt nam mới nhất|phim truyện việt nam hay mới nhất|phim truyện hay mới nhất 2026|phim truyện xưa việt nam|trailer,19,https://i.ytimg.com/vi/HNR--8P-ezs/hqdefault.jpg
gMBC6G0zt9M,🔴 TRỰC TIẾP: FULL SENSE vs RELOVE DEEP CROSS GAMING | QUARTER FINALS - APL 2026 (NGÀY 09/07),92,True,True,UCpnQwjzvDm1MOMtZV2zkVpA,Liên Quân Mobile eSports-Garena,20,Gaming,2026-07-09 23:01:34+07:00,2026-07-09,23,Thursday,1,PT9H37M11S,34631,> 30 mins,2498937,9079,49,0.003652753150639652,0.003633144813174562,1.9608337465090156e-05,garena liên quân|liên quân mobile|liên quân|arena of valor|garena liên quân mobile|aov|giai dau lien quan|giải liên quân|esports|dau truong danh vong|liên quân esports|giải đấu|cao thu lien quan|truc tiep lien quan|lcp|Flash|SGP|1s playoff|vòng loại liên quân|cao thủ liên quân|sgp liên quân|fpl liên quân|chung kết liên quân|team flash sgp|swiss stage|swiss stage liên quân|apl|quarter final apl|tứ kết liên quân|fpt liên quân|flash liên quân,31,https://i.ytimg.com/vi/gMBC6G0zt9M/hqdefault.jpg
wENlR8rFjLk,"Dạt Vào Tim Em - THÁI VG, IT'S CHARLES., CHENG  | Tiết mục nhóm Anh Trai Vượt Ngàn Chông Gai 2026",97,True,False,UCI2OiZs5aVcyBUBVsgovzng,YEAH1 MUSIC,10,Music,2026-07-05 16:00:32+07:00,2026-07-05,16,Sunday,6,PT3M56S,236,3-5 mins,564828,12867,1017,0.02458093437294185,0.02278038624147528,0.0018005481314665704,yeah1|anh trai|anh trai vượt ngàn chông gai|show anh trai|show anh trai vượt ngàn chông gai|nhạc anh trai|anh trai vượt mọi chông gai|anh trai chông gai|anh trai vượt ngàn chông gai 2026|anh trai chông gai 2026|chông gai 2026|atvncg2026|ATVNCG2026|ATVNCG|atvncg|thái vg|it's charles.|cheng|dạt vào tim em|dạt vào tim em tổ đội sống ngầm|nhóm tổ đội sống ngầm|tiết mục nhóm atvncg|tổ đội sống ngầm atvncg|nhóm tiết mục tổ đội sống ngầm,24,https://i.ytimg.com/vi/wENlR8rFjLk/hqdefault.jpg
gV6xpwrOS6k,HOÀNG HẬU CUỐI CÙNG | FIRST TRAILER | DKKC: 05.03.2027,54,True,False,UCq_28uJmbq4tlji7YAMZGtg,Galaxy Studio,1,Film & Animation,2026-07-07 10:06:00+07:00,2026-07-07,10,Tuesday,4,PT2M19S,139,1-3 mins,189602,2072,609,0.014140146200989441,0.010928154766299934,0.0032119914346895075,,0,https://i.ytimg.com/vi/gV6xpwrOS6k/hqdefault.jpg
vh7aGbgNyQg,Bạn Đã Làm Hại Tô Gà Trong Minecraft?,37,False,False,UCDhxPj5HsdH-jn7rUx6A2yg,Toga TV,20,Gaming,2026-07-08 19:11:56+07:00,2026-07-08,19,Wednesday,3,PT9M10S,550,5-10 mins,828146,4885,589,0.006609945589304301,0.005898718341934876,0.0007112272473694252,tô gà|tô gà tv|tô gà sinh tố|sinh tố team|biệt đội sinh tố|gia đình|minecraft|minecraft pe|mcpe|hihachobi|yummie|nabee|huynoob|jackvn|HUGGY|huggy wuggy|puppy playtime|toga tv|tô gà thử thách 24h|thử thách 24h tô gà|tô gà thử thách|nếu tô gà|toga|togatv|Bạn Đã Làm Hại Tô Gà Trong Minecraft?|ai đã làm lại tô gà|tô gà bị hại|tô gà qua đời|Bạn Đã Làm Hại Tô Gà|bạn đã lại tô gà|ai đã hại tô gà|ai đã sát hại tô gà,32,https://i.ytimg.com/vi/vh7aGbgNyQg/hqdefault.jpg
inHZZpCro5o,"TOGETHER WE SHINE - OFFICIAL MV THEME SONG | TINH HÀ ""SAY HI""",61,False,False,UC2fu6CiFfNYz5UFORvFyc0w,Vie Channel - MUSIC,10,Music,2026-07-05 09:00:07+07:00,2026-07-05,9,Sunday,6,PT6M27S,387,5-10 mins,868115,27458,2586,0.034608318022381825,0.031629450015262954,0.0029788680071188723,htv2|vie channel|music vie channel|anh trai say hi|say hi|anh trai|tinh hà say hi|tinh hà|tinh ha say hi|tinh ha|tinh hà say hi vie channel|tinh ha say hi moi nhat|tinh hà say hi tập 1|tinh hà tập 1|tinh ha say hi tap|tập 1 tinh hà|mv themesong|mv|themesong|mv themesong tinh hà say hi|together we shine tinh hà say hi|mv tinh hà say hi|tinh ha say hi mv theme song|together we shine mv theme song|wren evans|hurrykng|jaysonlei|pháp kiều|captain boy,29,https://i.ytimg.com/vi/inHZZpCro5o/hqdefault.jpg
JsFk6Y4YIks,Tôi Đã Gãy Toàn Bộ Xương Trong Minecraft !?  😱😥,47,False,True,UCtT5uP2WIGxyP0MYCC_ZHtQ,Oops Hiha,20,Gaming,2026-07-06 18:00:37+07:00,2026-07-06,18,Monday,5,PT15M44S,944,10-30 mins,951910,46079,954,0.049409082791440365,0.04840688720572323,0.0010021955857171371,oops hiha|oops club|hiha|hihachobi|hahichobi|hiha minecraft|hiha và yummie|sinh tố team|mcpe|minecraft|hiha yummie|hiha sinh tố team|hiha sinh tố|hiha yummie minecraft|hiha aut|làng hiha aut|hiha hiha aut|hiha aut hiha|h1h4|hiha alpha|Tôi Đã Gãy Toàn Bộ Xương Trong Minecraft|hiha gãy xương|gãy xương trong minecraft|hiha gãy xương minecraft|xương minecraft,25,https://i.ytimg.com/vi/JsFk6Y4YIks/hqdefault.jpg
gJAbDSse5WM,Hngle - Tìm em ft. Bảo Anh | Official Music Video,49,False,False,UCo8FtF_AhCOZ0feQOt6_NQQ,HNGLE / hưng lê,10,Music,2026-06-18 20:00:06+07:00,2026-06-18,20,Thursday,23,PT4M33S,273,3-5 mins,18883175,156586,4398,0.008525261244467628,0.008292355496361179,0.00023290574810644926,hngle|tìm em|tim em|bảo anh|bao anh|hưng lê|hngle hưng lê|tìm em hngle|tim em hngle|hngle tìm em|hngle tim em|tìm em hngle bảo anh|tim em hngle bao anh|tìm anh|hung le|tìm em bảo anh|tìm em hưng lê|tìm em karaoke|tìm em lyrics|không buông|buông|ko buông|nhạc chill|nhạc việt,24,https://i.ytimg.com/vi/gJAbDSse5WM/hqdefault.jpg
gFF8KGBi6_g,BI HUỲNH TẠO RA TƯƠNG ỚT CAY NHẤT THẾ GIỚI TRONG ROBLOX,55,False,False,UCKHGKR_8mQcCuSOoagfpdBA,Bi Huỳnh Gaming,20,Gaming,2026-07-09 17:27:14+07:00,2026-07-09,17,Thursday,2,PT16M56S,1016,10-30 mins,734032,10741,1548,0.016741776925256663,0.014632877040782963,0.0021088998844737013,blox fruit|bi huỳnh gaming|bi đại thần|thử thách 100 ngày blox fruit|thử thách blox fruit|24h blox fruit,6,https://i.ytimg.com/vi/gFF8KGBi6_g/hqdefault.jpg
